MSG_NO,X_COORD,Y_COORD,ANGLE,ADJACENT_DIST
0,0.6189041601232351,-0.6465157433818706,-0.8072147970087826,0
0,0.6154672891894672,-0.6373350580541317,-0.8028514739125967,0.009802911042253623
0,0.6126600270425437,-0.62891313240111,-0.7984881508164108,0.00887747444189925
0,0.6153983374493897,-0.6262339204377816,-0.7941248277202249,0.0038309947309651594
0,0.617420883948909,-0.6228325673081332,-0.7897615046240389,0.003957258830969624
0,0.6229610504553449,-0.6229610730444173,-0.785398181527853,0.005541656669561147
0,0.6199918400420293,-0.6146048838395396,-0.7810348584316671,0.008868038594089215
0,0.62338089059557,-0.6125947173662867,-0.7766715353354812,0.003940359489265458
0,0.6238989758355205,-0.6077754962404565,-0.7723082122392952,0.004846989227912809
0,0.6265449492122729,-0.6050474464829472,-0.7679448891431093,0.003800451366604912
0,0.628456639427266,-0.6016163733283477,-0.7635815660469234,0.003927699386449224
0,0.6310756952603666,-0.598868495705536,-0.7592182429507375,0.003796088103146068
0,0.634411097901902,-0.596794390672238,-0.7548549198545516,0.003927699386449203
0,0.6362777129781376,-0.5933385882144169,-0.7504915967583656,0.003927699386449158
0,0.6403292019095138,-0.591914247667134,-0.7461282736621797,0.004294567330441795
0,0.6451176587914198,-0.5911414435779961,-0.7417649505659938,0.00485041704083896
0,0.6521321462963737,-0.5923551575532737,-0.7374016274698079,0.007118717340289532
0,0.6539674319618698,-0.5888349425270746,-0.7330383043736219,0.003969910238866063
0,0.6617528988548552,-0.5906370662247346,-0.728674981277436,0.007991316822867169
0,0.6665705698171772,-0.589731845833765,-0.7243116581812501,0.004901976892788006
0,0.6721447722397252,-0.5894551671392871,-0.7199483350850642,0.005581064750342739
0,0.6830121374234773,-0.5937334152190682,-0.7155850119888783,0.01167917088962985
0,0.6893841445464325,-0.5940114047553158,-0.7112216888926923,0.006378068121089209
1,0.6195957054804759,-0.6472381411124494,-0.8072147970087826,0
1,0.6147726397754036,-0.6366157275025073,-0.8028514739125967,0.011666089048868414
1,0.613357808505696,-0.6296294251350116,-0.7984881508164108,0.007128125159662799
1,0.6153983374493897,-0.6262339204377816,-0.7941248277202249,0.003961465703368247
1,0.616716878301215,-0.6221223910631247,-0.7897615046240389,0.0043177799592613135
1,0.6187184223206134,-0.6187184447558446,-0.785398181527853,0.003948800947684668
1,0.6192816214922024,-0.6139008362035459,-0.7810348584316671,0.004850417040838917
