MSG_NO,X_COORD,Y_COORD
0,0.19877148846871862,-0.04589001869179828
0,0.19506846601572592,-0.04413949204923512
0,0.19428290537777615,-0.04307148775619968
0,0.1964234563297342,-0.04264771759673279
0,0.18303157334699208,-0.03309750442135088
0,0.19006789920448888,-0.03351410327683892
0,0.1862700900821018,-0.03200705974538392
0,0.18443541312877113,-0.03086390758751026
0,0.1796333343947199,-0.029255150470936412
0,0.18371003503797914,-0.02909681541236344
0,0.1828468811448047,-0.028142831019042917
0,0.18296793644924048,-0.027344745631573342
0,0.17714760272037167,-0.025685184163894943
0,0.18914120016057515,-0.02658206660896401
0,0.18331019280103486,-0.024947426668820515
0,0.18143440742258382,-0.023886297167779354
0,0.18153690359922098,-0.023094415359102474
0,0.18957631406692027,-0.023277048957859023
0,0.1906691448668519,-0.022567184950998825
0,0.1937465042352304,-0.022074630396238228
0,0.1958290950475794,-0.021446778584816893
0,0.1929372529175628,-0.0202785269873885
0,0.18804904511707898,-0.018935547610082003
0,0.18016670580158345,-0.01734808488638151
0,0.1802406858036941,-0.01656179669098262
0,0.18031123428301157,-0.01577519318285293
0,0.18436461997696854,-0.015319522933065592
0,0.18542662812701716,-0.014593396528621017
0,0.1894775324584098,-0.014080617439646266
0,0.1895371668572252,-0.013253734332096315
0,0.18959319274165146,-0.012426598892553438
0,0.18265866618015067,-0.01117188696952686
0,0.18570085487661273,-0.010544863151881214
0,0.18474646607999415,-0.009682156428312723
0,0.18179040244083483,-0.008732023547935676
0,0.17783058635267993,-0.007764255332177616
0,0.18585660497351764,-0.007302330348218083
0,0.17889096300971657,-0.0062470143720055
0,0.17991605336802535,-0.005496936910185467
0,0.17693934748193618,-0.004633324127172998
0,0.17695787977292726,-0.0038612389295429304
0,0.17497334359904812,-0.00305417528772831
0,0.18098448751221066,-0.002369221087590715
0,0.18599292206131807,-0.0016231401323195621
0,0.18299825628367233,-0.0007984900168318287
0,0.1840000003576278,-4.455447205620188e-09
0,0.1879982039581485,0.0008202975588288422
0,0.18399299424041088,0.00160567806710621
0,0.18998371991555366,0.002487018507743817
0,0.19197075922029502,0.003350857390676665
0,0.1779576440136096,0.0038830452645558368
0,0.17793900705780039,0.00465949253516545
0,0.18291464559161227,0.005588543393987421
0,0.18688609124574382,0.006526201532160293
0,0.18385814320276261,0.007223801605767325
0,0.18882010967483684,0.00824405938367036
0,0.18778349045104695,0.009019883236283183
0,0.18175057186941784,0.009525139368112393
0,0.17871211439770737,0.010148004858521612
0,0.18066239307577725,0.011049780846368266
